 Length, Breadth, Height, Fheight, Fbreadth, Type,Holdout
190.5,152.5,145,73.5,136.5,1,0
172.5,132,125.5,63,121,1,1
167,130,125.5,69.5,119.5,1,0
169.5,150.5,133.5,64.5,128,1,0
175,138.5,126,77.5,135.5,1,0
177.5,142.5,142.5,71.5,131,1,0
179.5,142.5,127.5,70.5,134.5,1,0
179.5,138,133.5,73.5,132.5,1,0
173.5,135.5,130.5,70,133.5,1,0
162.5,139,131,62,126,1,1
178.5,135,136,71,124,1,0
171.5,148.5,132.5,65,146.5,1,0
180.5,139,132,74.5,134.5,1,0
183,149,121.5,76.5,142,1,1
169.5,130,131,68,119,1,0
172,140,136,70.5,133.5,1,1
170,126.5,134.5,66,118.5,1,0
182.5,136,138.5,76,134,2,0
179.5,135,128.5,74,132,2,1
191,140.5,140.5,72.5,131.5,2,0
184.5,141.5,134.5,76.5,141.5,2,0
181,142,132.5,79,136.5,2,0
173.5,136.5,126,71.5,136.5,2,1
188.5,130,143,79.5,136,2,0
175,153,130,76.5,143,2,0
196,142.5,123.5,76,134,2,0
200,139.5,143.5,82.5,146,2,1
185,134.5,140,81.5,137,2,0
174.5,143.5,132.5,74,136.5,2,1
195.5,144,138.5,78.5,144,2,0
197,131.5,135,80.5,139,2,0
182.5,131,135,68.5,136,2,0
